,0
320,-5.411891046803512e-09
321,-4.829825115456867e-08
322,4.5545632310047515e-08
323,3.855246639715314e-08
324,3.0008667676647794e-08
325,3.4035319157152186e-08
326,-5.297223140905358e-09
327,1.46558556082324e-08
328,-5.411891046803512e-09
329,-4.829825115456867e-08
330,4.5545632310047515e-08
331,3.855246639715314e-08
332,3.0008667676647794e-08
333,3.4035319157152186e-08
334,-5.297223140905358e-09
335,1.46558556082324e-08
336,-5.411891046803512e-09
337,-4.829825115456867e-08
338,4.5545632310047515e-08
339,3.855246639715314e-08
340,3.0008667676647794e-08
341,3.4035319157152186e-08
342,-5.297223140905358e-09
343,1.46558556082324e-08
344,-5.411891046803512e-09
345,-4.829825115456867e-08
346,4.5545632310047515e-08
347,3.855246639715314e-08
348,3.0008667676647794e-08
349,3.4035319157152186e-08
350,-5.297223140905358e-09
351,1.46558556082324e-08
352,-5.411891046803512e-09
353,-4.829825115456867e-08
354,4.5545632310047515e-08
355,3.855246639715314e-08
356,3.0008667676647794e-08
357,3.4035319157152186e-08
358,-5.297223140905358e-09
359,1.46558556082324e-08
360,-5.411891046803512e-09
361,-4.829825115456867e-08
362,4.5545632310047515e-08
363,3.855246639715314e-08
364,3.0008667676647794e-08
365,3.4035319157152186e-08
366,-5.297223140905358e-09
367,1.46558556082324e-08
368,-5.411891046803512e-09
369,-4.829825115456867e-08
370,4.5545632310047515e-08
371,3.855246639715314e-08
372,3.0008667676647794e-08
373,3.4035319157152186e-08
374,-5.297223140905358e-09
375,1.46558556082324e-08
376,-5.411891046803512e-09
377,-4.829825115456867e-08
378,4.5545632310047515e-08
379,3.855246639715314e-08
380,3.0008667676647794e-08
381,3.4035319157152186e-08
382,-5.297223140905358e-09
383,1.46558556082324e-08
384,-5.411891046803512e-09
385,-4.829825115456867e-08
386,4.5545632310047515e-08
387,3.855246639715314e-08
388,3.0008667676647794e-08
389,3.4035319157152186e-08
390,-5.297223140905358e-09
391,1.46558556082324e-08
392,-5.411891046803512e-09
393,-4.829825115456867e-08
394,4.5545632310047515e-08
395,3.855246639715314e-08
396,3.0008667676647794e-08
397,3.4035319157152186e-08
398,-5.297223140905358e-09
399,1.46558556082324e-08
400,-5.411891046803512e-09
401,-4.829825115456867e-08
402,4.5545632310047515e-08
403,3.855246639715314e-08
404,3.0008667676647794e-08
405,3.4035319157152186e-08
406,-5.297223140905358e-09
407,1.46558556082324e-08
408,-5.411891046803512e-09
409,-4.829825115456867e-08
410,4.5545632310047515e-08
411,3.855246639715314e-08
412,3.0008667676647794e-08
413,3.4035319157152186e-08
414,-5.297223140905358e-09
415,1.46558556082324e-08
416,-5.411891046803512e-09
417,-4.829825115456867e-08
418,4.5545632310047515e-08
419,3.855246639715314e-08
420,3.0008667676647794e-08
421,3.4035319157152186e-08
422,-5.297223140905358e-09
423,1.46558556082324e-08
424,-5.411891046803512e-09
425,-4.829825115456867e-08
426,4.5545632310047515e-08
427,3.855246639715314e-08
428,3.0008667676647794e-08
429,3.4035319157152186e-08
430,-5.297223140905358e-09
431,1.46558556082324e-08
432,-5.411891046803512e-09
433,-4.829825115456867e-08
434,4.5545632310047515e-08
435,3.855246639715314e-08
436,3.0008667676647794e-08
437,3.4035319157152186e-08
438,-5.297223140905358e-09
439,1.46558556082324e-08
440,-5.411891046803512e-09
441,-4.829825115456867e-08
442,4.5545632310047515e-08
443,3.855246639715314e-08
444,3.0008667676647794e-08
445,3.4035319157152186e-08
446,-5.297223140905358e-09
447,1.46558556082324e-08
448,-5.411891046803512e-09
449,-4.829825115456867e-08
450,4.5545632310047515e-08
451,3.855246639715314e-08
452,3.0008667676647794e-08
453,3.4035319157152186e-08
454,-5.297223140905358e-09
455,1.46558556082324e-08
456,-5.411891046803512e-09
457,-4.829825115456867e-08
458,4.5545632310047515e-08
459,3.855246639715314e-08
460,3.0008667676647794e-08
461,3.4035319157152186e-08
462,-5.297223140905358e-09
463,1.46558556082324e-08
464,-5.411891046803512e-09
465,-4.829825115456867e-08
466,4.5545632310047515e-08
467,3.855246639715314e-08
468,3.0008667676647794e-08
469,3.4035319157152186e-08
470,-5.297223140905358e-09
471,1.46558556082324e-08
472,-5.411891046803512e-09
473,-4.829825115456867e-08
474,4.5545632310047515e-08
475,3.855246639715314e-08
476,3.0008667676647794e-08
477,3.4035319157152186e-08
478,-5.297223140905358e-09
479,1.46558556082324e-08
480,-5.411891046803512e-09
481,-4.829825115456867e-08
482,4.5545632310047515e-08
483,3.855246639715314e-08
484,3.0008667676647794e-08
485,3.4035319157152186e-08
486,-5.297223140905358e-09
487,1.46558556082324e-08
488,-5.411891046803512e-09
489,-4.829825115456867e-08
490,4.5545632310047515e-08
491,3.855246639715314e-08
492,3.0008667676647794e-08
493,3.4035319157152186e-08
494,-5.297223140905358e-09
495,1.46558556082324e-08
496,-5.411891046803512e-09
497,-4.829825115456867e-08
498,4.5545632310047515e-08
499,3.855246639715314e-08
500,3.0008667676647794e-08
501,3.4035319157152186e-08
502,-5.297223140905358e-09
503,1.46558556082324e-08
504,-5.411891046803512e-09
505,-4.829825115456867e-08
506,4.5545632310047515e-08
507,3.855246639715314e-08
508,3.0008667676647794e-08
509,3.4035319157152186e-08
510,-5.297223140905358e-09
511,1.46558556082324e-08
512,-5.411891046803512e-09
513,-4.829825115456867e-08
514,4.5545632310047515e-08
515,3.855246639715314e-08
516,3.0008667676647794e-08
517,3.4035319157152186e-08
518,-5.297223140905358e-09
519,1.46558556082324e-08
520,-5.411891046803512e-09
521,-4.829825115456867e-08
522,4.5545632310047515e-08
523,3.855246639715314e-08
524,3.0008667676647794e-08
525,3.4035319157152186e-08
526,-5.297223140905358e-09
527,1.46558556082324e-08
528,-5.411891046803512e-09
529,-4.829825115456867e-08
530,4.5545632310047515e-08
531,3.855246639715314e-08
532,3.0008667676647794e-08
533,3.4035319157152186e-08
534,-5.297223140905358e-09
535,1.46558556082324e-08
536,-5.411891046803512e-09
537,-4.829825115456867e-08
538,4.5545632310047515e-08
539,3.855246639715314e-08
540,3.0008667676647794e-08
541,3.4035319157152186e-08
542,-5.297223140905358e-09
543,1.46558556082324e-08
544,-5.411891046803512e-09
545,-4.829825115456867e-08
546,4.5545632310047515e-08
547,3.855246639715314e-08
548,3.0008667676647794e-08
549,3.4035319157152186e-08
550,-5.297223140905358e-09
551,1.46558556082324e-08
552,-5.411891046803512e-09
553,-4.829825115456867e-08
554,4.5545632310047515e-08
555,3.855246639715314e-08
556,3.0008667676647794e-08
557,3.4035319157152186e-08
558,-5.297223140905358e-09
559,1.46558556082324e-08
560,-5.411891046803512e-09
561,-4.829825115456867e-08
562,4.5545632310047515e-08
563,3.855246639715314e-08
564,3.0008667676647794e-08
565,3.4035319157152186e-08
566,-5.297223140905358e-09
567,1.46558556082324e-08
568,-5.411891046803512e-09
569,-4.829825115456867e-08
570,4.5545632310047515e-08
571,3.855246639715314e-08
572,3.0008667676647794e-08
573,3.4035319157152186e-08
574,-5.297223140905358e-09
575,1.46558556082324e-08
576,-5.411891046803512e-09
577,-4.829825115456867e-08
578,4.5545632310047515e-08
579,3.855246639715314e-08
580,3.0008667676647794e-08
581,3.4035319157152186e-08
582,-5.297223140905358e-09
583,1.46558556082324e-08
584,-5.411891046803512e-09
585,-4.829825115456867e-08
586,4.5545632310047515e-08
587,3.855246639715314e-08
588,3.0008667676647794e-08
589,3.4035319157152186e-08
590,-5.297223140905358e-09
591,1.46558556082324e-08
592,-5.411891046803512e-09
593,-4.829825115456867e-08
594,4.5545632310047515e-08
595,3.855246639715314e-08
596,3.0008667676647794e-08
597,3.4035319157152186e-08
598,-5.297223140905358e-09
599,1.46558556082324e-08
600,-5.411891046803512e-09
601,-4.829825115456867e-08
602,4.5545632310047515e-08
603,3.855246639715314e-08
604,3.0008667676647794e-08
