,VehPower,VehAge,DrivAge,BonusMalus,Density,Area,VehBrand_B1,VehBrand_B10,VehBrand_B11,VehBrand_B12,VehBrand_B13,VehBrand_B14,VehBrand_B2,VehBrand_B3,VehBrand_B4,VehBrand_B5,VehBrand_B6,Region_R11,Region_R21,Region_R22,Region_R23,Region_R24,Region_R25,Region_R26,Region_R31,Region_R41,Region_R42,Region_R43,Region_R52,Region_R53,Region_R54,Region_R72,Region_R73,Region_R74,Region_R82,Region_R83,Region_R91,Region_R93,Region_R94,VehGas_Diesel,VehGas_Regular
224,80169.42305073324,80169.3087865083,80169.17416650624,80169.02641583438,80168.97884893908,80168.75980650686,80168.5738604491,80168.52957915852,80168.44355498039,80168.26519909463,80168.21220801452,80168.19377408302,80168.12200284423,80168.0021827085,80167.9477759588,80167.8993616399,80167.82679326156,80167.76753133575,80167.75161239723,80167.68264259827,80167.64949653023,80167.48500513373,80167.43752314989,80167.40915751734,80167.34951919649,80167.28756352287,80167.27714353453,80167.27145383984,80167.22001892672,80167.16261033068,80167.09823042789,80166.9304753487,80166.89299264248,80166.81431593478,80166.73107925736,80166.70897130997,80166.58585010532,80166.44301649852,80166.3731410557,80166.18268241826,80165.877082586
225,80165.59015552836,80165.47749939447,80165.29134410256,80165.17339748712,80165.11106386338,80164.92038986748,80164.57197992667,80164.496231279,80164.4036932915,80164.21866324575,80164.13907186312,80164.11395465548,80164.03632934656,80163.95036644762,80163.87605534925,80163.82583674497,80163.72238565952,80163.5674609865,80163.55538163654,80163.52234172876,80163.49102893204,80163.28673247443,80163.24290454536,80163.21981780764,80163.14038679248,80163.08502477244,80163.03789036974,80163.01997662123,80162.95905330684,80162.90921535477,80162.88050635101,80162.84229942679,80162.79675823214,80162.75829569386,80162.51765433117,80162.48154965641,80162.38836701593,80162.29670193471,80162.21831696287,80162.00550583893,80161.83597875603
226,80161.7028800314,80161.63524625995,80161.52407206637,80161.40846621219,80161.28840346666,80161.08323213883,80160.95180030429,80160.80983547121,80160.70302956585,80160.32548502227,80160.2665399978,80160.19471836978,80160.1071989903,80159.98419004792,80159.91375537282,80159.8725072378,80159.82432353482,80159.76194357121,80159.74076733319,80159.6961001568,80159.6687819391,80159.51715806994,80159.47289300755,80159.43780637762,80159.39327830504,80159.35163704448,80159.29083404152,80159.28225617873,80159.23670513279,80159.16220158609,80159.1138738512,80159.03676451909,80159.0065432382,80158.95284848155,80158.8868399353,80158.83732197291,80158.75819267603,80158.6169346222,80158.50459824025,80158.3439717235,80158.08297780558
227,80157.67430759784,80157.56465876268,80157.42264944193,80157.27821957301,80157.19715620067,80157.01148097718,80156.8346848994,80156.78449503807,80156.70403770692,80156.58794215012,80156.5333018117,80156.51491507558,80156.33974279929,80156.17833941724,80156.10651816589,80156.02637023162,80155.96019770387,80155.87880093142,80155.8534525586,80155.82243412992,80155.76929374963,80155.60721949776,80155.5685917334,80155.5421791093,80155.48156853401,80155.39561650527,80155.34348651998,80155.31762543341,80155.26419630072,80155.19350351093,80155.13543190432,80155.09551762635,80155.06112748655,80154.94232456054,80154.84312665206,80154.7844553992,80154.69227725393,80154.6108192136,80154.50463855226,80154.31339207642,80154.02485644906
228,80153.91835002723,80153.8527949974,80153.66298186858,80153.56585435907,80153.49048520577,80153.29273043064,80153.06138980525,80153.00356791803,80152.9219029615,80152.77139385811,80152.69534260707,80152.65317791732,80152.56212565931,80152.49982398494,80152.44972733493,80152.3976007787,80152.35528529345,80152.25204184063,80152.22708445409,80152.19232947042,80152.14715663333,80151.9682779599,80151.9165140045,80151.89538552114,80151.82704974973,80151.79177183693,80151.74560492698,80151.70571139625,80151.66434788458,80151.58882882631,80151.53061911365,80151.3879547341,80151.34943444084,80151.25996350094,80151.17065803436,80151.14311455071,80151.05902182378,80150.9439504048,80150.92045973791,80150.63727290745,80150.34243094159
229,80150.04837374703,80149.85978858237,80149.7612363316,80149.64964416125,80149.5179339984,80149.34617016706,80149.19544749203,80149.11682542067,80149.02159122506,80148.8007787292,80148.74121723503,80148.71546390388,80148.63767075678,80148.55366982914,80148.50961738551,80148.46817068127,80148.42580225215,80148.36155535508,80148.34937838606,80148.29610189304,80148.25703119236,80148.10703798462,80148.03844615546,80147.95954234248,80147.92344194184,80147.87305079872,80147.86313421998,80147.83769223545,80147.75273852755,80147.69655876172,80147.66856576761,80147.62943029997,80147.59234408692,80147.51362851988,80147.43348501675,80147.39077560737,80147.31659001467,80147.17191699395,80147.0839012166,80146.87889238342,80146.5760575894
230,80146.44672232977,80146.2618212463,80145.73691819898,80145.64161372255,80145.5916542476,80145.49764736491,80145.3299634379,80145.27464391768,80145.22237730562,80145.05476777648,80145.00266015579,80144.96819237906,80144.74978614318,80144.57883248926,80144.5101157435,80144.47033431589,80144.29644397474,80144.23548344875,80144.21459711247,80144.18911746127,80144.15136569025,80143.89050628112,80143.84717596523,80143.81484589775,80143.73080443245,80143.66677999377,80143.62157513143,80143.59654802896,80143.53511442555,80143.46627874966,80143.31682240224,80143.23398486641,80143.20087798664,80143.13405707793,80143.0410573477,80143.00804092453,80142.91822334536,80142.8018095883,80142.77854390399,80142.6005705031,80142.3967357366
231,80142.21094250682,80142.05954897261,80141.89790722271,80141.80451076638,80141.72637412095,80141.57936379994,80141.43319676335,80141.3861411747,80141.27578523793,80141.16267910533,80141.06569043774,80141.04294519177,80140.97722627924,80140.9209007677,80140.84648000181,80140.76871629652,80140.66856349513,80140.58914793213,80140.56427828781,80140.51054201205,80140.45630900843,80140.29963874668,80140.26559635258,80140.24071405813,80140.16326597829,80140.12298065831,80140.11326361215,80140.0899700191,80140.04625962288,80139.97681730404,80139.91713240402,80139.86465089415,80139.83629126423,80139.77070045978,80139.71197650745,80139.67348329126,80139.55360522316,80139.4898047256,80139.43036524273,80139.26719435125,80138.92581805235
232,80138.76954068674,80138.63911380593,80138.14415827075,80138.1115977206,80138.05717231208,80137.85281715437,80137.6385603764,80137.54724697598,80137.4747045185,80137.31084306803,80137.20482029245,80137.15845730546,80137.07779233283,80137.00512090199,80136.9596413231,80136.90715221166,80136.83602453969,80136.74169221951,80136.71732751111,80136.64342973799,80136.6053285998,80136.38829582094,80136.34713628369,80136.28877569272,80136.23182565515,80136.17593540564,80136.1663941881,80136.14778375463,80136.10320521577,80136.05036428978,80136.01661535286,80135.97267544467,80135.89607161868,80135.81864857822,80135.72735709872,80135.69660738076,80135.60519017727,80135.47424059347,80135.45138403903,80135.2469989805,80134.94253967627
233,80134.67453055641,80134.54616047177,80134.41722448735,80134.27785004812,80134.16481927321,80133.91626572193,80133.78969316564,80133.74262729185,80133.66610430319,80133.2997670997,80133.25322211714,80133.23532143541,80133.1612829861,80132.99397535685,80132.93861920248,80132.84024458073,80132.79800259278,80132.71287045936,80132.68891431492,80132.61042818063,80132.56590340249,80132.32266062443,80132.27901681562,80132.26011849244,80132.2025573924,80132.1590338114,80132.0738057916,80132.05207337442,80131.97792514157,80131.91235265945,80131.86954320897,80131.83399347277,80131.79945374774,80131.72805138605,80131.58169841775,80131.52247539075,80131.43593569518,80131.26703479173,80131.20696020815,80131.04258975165,80130.74723754634
