,VehPower,VehAge,DrivAge,BonusMalus,Density,Diesel
44,178033.00307118968,178028.1736084664,178023.62842050457,178020.8112155882,178018.86865753026,178016.72931151153
45,178010.92219615186,178007.23944868142,178005.29693430258,178001.61320690264,177999.81487637758,177997.45589701447
46,177994.38807105934,177988.31247974036,177987.25297608745,177985.02058951213,177983.38999938947,177980.9937857556
47,177975.39337127094,177973.12010397462,177970.84007690605,177968.27161902498,177965.68694858038,177962.66324621736
48,177958.74140996768,177954.60375667634,177953.0796813639,177952.22420069802,177950.91371342842,177947.2681989085
49,177942.96855247664,177942.08056913764,177940.23388950535,177939.02456550376,177938.37230789548,177936.37741327847
50,177931.65280020214,177930.12596043292,177927.18108300233,177926.44508676557,177923.05450041246,177919.8934575341
51,177916.37802647805,177911.7987580984,177908.70356933976,177908.059858704,177906.95558802402,177904.86924711135
52,177901.8072956416,177897.7692381813,177895.16705349067,177893.8666749081,177892.33181653474,177889.7088799462
53,177887.55494322558,177885.30358733173,177881.86497219608,177880.5195518708,177879.26406929444,177877.76620312934
54,177871.8291741624,177869.7748264086,177865.95125335868,177863.2337908221,177861.58111434412,177858.9874579693
55,177855.59149366713,177854.25292453374,177851.63527565333,177850.41744968493,177847.52636535335,177845.12597831292
56,177842.65713767763,177841.1708021437,177838.48201706557,177837.29911967093,177834.77821593458,177832.2810909387
57,177829.4411610858,177827.7975129026,177824.82333195355,177824.1230103657,177823.38081284318,177821.28292570382
58,177818.45564008196,177814.5935769031,177812.76770085588,177810.52093485236,177808.95871676697,177806.0495170057
59,177802.18547769045,177800.59831814154,177797.78041728187,177796.32457413536,177794.94482988192,177792.27493928905
60,177790.01087621626,177786.05647553725,177782.61274824708,177781.51820430974,177779.58950403566,177777.4075391416
61,177774.71261538417,177773.5981338042,177771.58809756505,177770.56654195715,177769.0939440337,177767.84060389444
62,177765.20643849642,177762.81378377878,177761.61517870642,177760.46321728663,177759.08420737527,177756.57735466765
63,177753.85326009672,177752.02843516658,177749.08968639956,177747.78736162756,177746.44956643958,177743.9188963975
64,177741.24576171482,177740.1188176119,177737.5448484976,177736.9655476025,177735.51815512462,177733.21848087793
65,177730.4661728027,177729.83581530888,177729.0295409233,177728.68604373623,177727.65464393244,177726.65979087603
66,177725.19282233986,177722.84229737634,177721.7072049033,177721.04304185283,177720.60588380918,177719.16653771547
67,177715.3576299094,177714.26539316907,177713.71314085546,177712.5915931479,177711.86518204375,177709.7414308596
68,177708.40790012706,177707.40466711353,177705.51125631688,177705.0742511737,177704.25868410448,177701.43027932508
69,177699.39588016705,177698.77882789978,177695.86153141415,177694.96267347684,177694.63611777386,177692.57846815346
70,177689.85171524817,177689.3396550621,177688.00312515118,177687.26920157514,177686.41583065243,177684.50105631715
71,177683.04137402656,177680.37008962786,177677.64467147028,177676.87268848484,177676.30895910304,177674.6122898859
72,177672.78861537087,177671.84892964672,177670.09631537716,177667.24949292722,177666.45735993303,177665.46443461993
73,177663.65336667045,177662.75678555891,177660.55599508673,177660.0093190511,177658.91062171405,177655.99507633058
74,177652.28450487313,177650.98984061467,177649.85094875662,177649.09517787525,177646.6930114529,177645.98549804665
75,177643.35122610698,177642.31087345746,177640.4903621783,177639.98809055434,177639.4468074129,177638.63091655984
76,177636.73150584573,177635.7126652357,177633.6420687648,177633.33342025348,177632.4966583344,177631.31226619563
77,177629.80289858126,177628.55652637873,177625.724228312,177624.09000991355,177622.9923684866,177622.16634000017
78,177619.7881738907,177618.48548117402,177617.86971172882,177615.96496816998,177615.333912657,177613.6730122335
79,177612.10111903498,177608.76925776375,177607.77212060307,177607.12261220525,177606.78780752624,177605.3956081131
80,177604.44303433702,177603.6466093022,177601.1920877203,177600.46230520526,177599.76286250734,177597.6187096666
81,177596.6835809928,177595.98185510296,177595.07685587648,177592.9238971037,177592.292356102,177591.62518114632
82,177589.72829657415,177587.713997992,177586.1908404612,177585.45853857073,177584.4449110002,177582.36701116728
83,177581.0097770696,177579.45870673,177577.88132687192,177577.38236291904,177576.14931896096,177575.22851249063
84,177574.30206815182,177572.49348642747,177570.24286055725,177570.0524093365,177569.32422186,177563.0202136239
85,177562.0065789009,177560.63917982942,177558.54228249483,177556.90399846743,177556.17943240848,177554.35184398326
86,177552.63320370103,177551.8367155947,177549.52203668322,177548.32442401003,177547.41420944146,177545.41075721633
87,177544.08491368472,177542.8247454953,177542.02495551482,177539.8932581271,177539.37062175118,177538.06700435668
88,177536.80111855947,177536.05921739046,177535.46699532197,177531.62152734605,177530.5686633735,177529.0752642706
89,177527.6825664625,177526.77677301463,177525.46574128047,177524.87601411474,177521.84993556427,177520.5263557947
90,177519.61607751247,177518.8184569607,177517.71537824487,177515.27098712433,177514.1078324951,177513.26985038683
91,177512.72978013006,177511.22558742165,177509.33325661166,177509.1824386361,177508.45928987174,177507.21006579945
92,177506.20088859918,177503.66991932783,177502.23527364366,177501.9537024463,177501.63995652442,177498.5776503402
93,177496.9937584504,177495.76587124862,177494.50299649435,177494.1334435072,177493.62239076933,177492.62738766806
94,177490.99751178795,177489.77927473132,177488.17802542768,177487.8123454286,177487.34485133263,177485.6995770724
95,177484.26985968623,177483.14116086983,177482.55831052896,177482.2255663243,177481.65713548206,177480.9264003851
96,177479.18297906796,177478.5910999469,177477.72947737572,177476.97373872186,177475.61370907802,177474.69533949235
97,177473.40380521474,177471.2538255166,177470.24173128174,177468.09783518748,177467.4635698507,177466.36364885897
98,177465.2707235854,177463.9336391053,177463.54666150396,177462.1797447225,177461.82691096998,177460.2009896587
99,177459.11874214013,177457.6410926903,177457.00853125332,177456.6782092275,177456.0618970878,177453.90728667728
100,177453.90728667728,177453.90728667728,177453.90728667728,177453.90728667728,177453.90728667728,177453.90728667728
