,VehPower,VehAge,DrivAge,BonusMalus,Density,Area,VehGas,VehBrand_B1,VehBrand_B10,VehBrand_B11,VehBrand_B12,VehBrand_B13,VehBrand_B14,VehBrand_B2,VehBrand_B3,VehBrand_B4,VehBrand_B5,VehBrand_B6,Region_R11,Region_R21,Region_R22,Region_R23,Region_R24,Region_R25,Region_R26,Region_R31,Region_R41,Region_R42,Region_R43,Region_R52,Region_R53,Region_R54,Region_R72,Region_R73,Region_R74,Region_R82,Region_R83,Region_R91,Region_R93,Region_R94
198,80229.33463792747,80229.27108951713,80229.06731163987,80228.7406322275,80228.62982742253,80228.46384230771,80228.25150252105,80228.08296936774,80227.97640469599,80227.9164063801,80227.70057915636,80227.63221398604,80227.5984705633,80227.40146737441,80227.35489329296,80227.17139455077,80227.11714489709,80226.99047383913,80226.83665813648,80226.79396421422,80226.77824740083,80226.73812256524,80226.54387827733,80226.51792430005,80226.48740527208,80226.40460968205,80226.29459437617,80226.22140670117,80226.2100100344,80226.14909788781,80226.08833236594,80225.99679192365,80225.91968193915,80225.88248621837,80225.83603303076,80225.81250513805,80225.75894411867,80225.66699097535,80225.541390272,80225.4550340026
199,80225.26874551544,80224.87979293728,80224.5612877006,80224.2248577492,80224.12413857481,80223.92636446135,80223.57245677049,80223.42062958283,80223.3786118211,80223.32667889044,80223.06053267932,80222.96516059514,80222.86535086624,80222.81211071297,80222.74505657327,80222.67661566737,80222.60648086539,80222.50565163826,80222.25500719869,80222.21588796098,80222.18109293276,80222.14342319175,80221.976372593,80221.91371772496,80221.8896569142,80221.8471479932,80221.79760843128,80221.71445783485,80221.6785438367,80221.61793784052,80221.54352918566,80221.48835216367,80221.41694822058,80221.35593522305,80221.31605984809,80221.22423799592,80221.17022397388,80221.07046115646,80220.77091226785,80220.72515987419
200,80220.29812935903,80220.236026784,80220.02795306215,80219.69204062983,80219.63708554194,80219.44128907943,80219.14706722948,80218.84733558673,80218.76267951113,80218.63964007565,80218.36081743297,80218.29509913176,80218.24198120185,80218.14864540183,80217.82739516585,80217.7584539289,80217.68933011094,80217.63044860958,80217.50069474921,80217.4691103819,80217.40801224904,80217.3783077141,80217.22171747481,80217.1899285606,80217.18183378491,80217.11505371207,80217.01197246957,80216.93432023004,80216.87800956974,80216.82356571645,80216.77418024492,80216.71368342929,80216.62030389401,80216.52995022776,80216.47611901152,80216.36437127169,80216.31590845855,80216.22328078873,80216.11696192986,80216.07886769038
201,80215.85165505033,80215.71984521812,80215.45313471396,80215.39179116726,80215.29930279734,80214.98874533507,80214.85311713793,80214.67649379192,80214.61586872692,80214.58300100063,80214.28188086588,80214.20069095827,80214.16767887739,80213.9464329129,80213.80327049847,80213.76094345168,80213.70012525834,80213.63268979371,80213.3862937213,80213.35449067657,80213.33707428747,80213.30816571155,80213.08398480361,80213.03183463952,80213.01902003774,80212.88474410637,80212.83532263887,80212.77779390872,80212.76051165274,80212.72362327886,80212.57463968651,80212.50423804726,80212.46502190744,80212.44135607415,80212.37330469402,80212.28287278643,80212.26451013735,80212.17019386007,80212.08652659398,80212.04910520272
202,80211.32725392331,80210.92397898166,80210.62608819592,80210.306395647,80210.27659587239,80210.116651015,80209.88289905238,80209.64786615351,80209.56808133001,80209.45557836082,80209.24988202588,80209.17914691169,80209.1633807394,80209.08596878234,80209.02090083814,80208.9753032641,80208.92800066172,80208.89011188474,80208.70742833338,80208.6586159532,80208.63030299745,80208.599251799,80208.4675306167,80208.44200172176,80208.39820645077,80208.22302100954,80207.90924353548,80207.86885483045,80207.84478514618,80207.81215601241,80207.7357579968,80207.63346971718,80207.53863425393,80207.49612419284,80207.4546038375,80207.38003188456,80207.32509219146,80207.10736817779,80206.97963961697,80206.94222685581
203,80206.82596837322,80206.76530284216,80206.56842082684,80206.50673651315,80206.3483245039,80206.19672955475,80205.80527971039,80205.64606925554,80205.6020022134,80205.48630528261,80205.208051998,80205.14368850851,80205.1115658276,80205.03953164694,80204.9925266599,80204.9442616792,80204.87604054183,80204.7865777144,80204.66174605073,80204.6200983328,80204.57765919689,80204.37488726631,80204.10532193814,80204.06698216156,80204.03205640428,80203.95841839252,80203.85340441816,80203.77741478861,80203.7246633043,80203.66542922736,80203.59401143908,80203.51684280543,80203.45704062207,80203.4023385847,80203.35251175347,80203.32655108874,80203.27388537915,80203.17955542078,80203.09354989318,80203.04869868333
204,80202.88402732034,80202.76334792626,80202.54332379275,80202.49159503491,80202.37690240101,80202.16166164877,80201.8211770833,80201.67074060361,80201.59073395886,80201.5154965065,80201.31915059255,80201.25247630081,80201.23698838218,80201.15284694072,80201.08965934851,80201.01490006206,80200.95403962856,80200.87184260726,80200.76396018718,80200.73765326173,80200.68648666466,80200.65668591714,80200.36020985719,80200.33136882358,80200.32361346483,80200.27422258284,80200.1754427668,80200.12271256004,80200.10066775055,80200.04658308631,80199.98142598907,80199.9074159982,80199.83782077034,80199.77689151112,80199.61886277935,80199.51993015126,80199.5020013058,80199.40705298822,80199.12909799433,80199.09238616936
205,80198.95064336268,80198.88329675068,80198.67807584937,80198.63879828589,80198.55885904482,80198.42286555677,80198.11680833157,80198.01507264847,80197.91530654833,80197.841234919,80197.56059660719,80197.52841779013,80197.48711179657,80197.30085635956,80197.16007452214,80197.11142918786,80197.06058486027,80196.91909116994,80196.74145805945,80196.70647262753,80196.65189187924,80196.62533043834,80196.48039401675,80196.41271087494,80196.40501610222,80196.34826507661,80196.24975892139,80196.19618091635,80196.17277663577,80196.14101146212,80196.07370431189,80196.03585404961,80195.96232392537,80195.90820013314,80195.86409351323,80195.82761651167,80195.76889173177,80195.67527317525,80195.54244722456,80195.50542817921
206,80194.87267332018,80194.5018696248,80194.2290456472,80194.19032817509,80194.04236435532,80193.8587325781,80193.64584225012,80193.49212923643,80193.4239363703,80193.36401177994,80193.01864726236,80192.95554528688,80192.93145747074,80192.82583596886,80192.68535352402,80192.62810587026,80192.56200856064,80192.50416952002,80192.41690899231,80192.3898440386,80192.35935100456,80192.32891336811,80192.04414456678,80192.00500737363,80191.97353480262,80191.86491774782,80191.75946046138,80191.71137757704,80191.69455469544,80191.65460124248,80191.58934555635,80191.53772153184,80191.4552006921,80191.35663195254,80191.31546594607,80191.2393566314,80191.20290593244,80191.10734772406,80191.03593648397,80191.01422623977
207,80190.65147350755,80190.30726221352,80190.06331423917,80190.01252969357,80189.9187047648,80189.7555540863,80189.53038271121,80189.24365394116,80189.18623938029,80189.07317356076,80188.79848322581,80188.71090100794,80188.63751725541,80188.4247695576,80188.37853705473,80188.31951033986,80188.27315722454,80188.23600432127,80188.06243077958,80188.02143790762,80187.97413044529,80187.93910507468,80187.5808611658,80187.5258377921,80187.49645571667,80187.42386616496,80187.36620237859,80187.30370953171,80187.28063020718,80187.24895731974,80187.2010229821,80187.14919995924,80187.10017979049,80187.04531630262,80187.00539048712,80186.90793631766,80186.86230695673,80186.76535698617,80186.68347819863,80186.59259609158
