,X1,X2,X3,X4,X5,X6,X7,X8
54,117976.82582006851,117935.15595147005,117849.91414622618,117769.52736869227,117689.36186069701,117672.57353701277,117656.36707747451,117639.20665066307
55,117627.99546556595,117585.56780226209,117501.01740322034,117433.23412000018,117367.51761255617,117351.4154570412,117335.50233682367,117319.72261005345
56,117318.64977874723,117277.56565092907,117207.98326901029,117130.81929722003,117067.72193113307,117050.46712241633,117035.05613097677,117019.49991838088
57,117008.73733599744,116967.59558365268,116886.30077207083,116812.76055531687,116739.39644515494,116723.19549269494,116707.96834381254,116692.47321315698
58,116682.23919302534,116645.26078937115,116572.79765569247,116512.87612738038,116442.82898740037,116426.96680594701,116412.02462604747,116396.26222178196
59,116378.72702251398,116340.59948512953,116287.87018325241,116216.41954619589,116145.70786059502,116128.7865840809,116114.05875380248,116099.67300892214
60,116082.81298367569,116044.84860078109,115967.15755962551,115897.50691504183,115830.50857597706,115818.35778104715,115803.91615884581,115790.72906193466
61,115774.31755769497,115738.51528584104,115662.28292806316,115597.29491150717,115531.72187048302,115516.81109344013,115502.84624872191,115489.93280924775
62,115474.08889944003,115437.64326491737,115363.68191945474,115297.92203531813,115235.06736844216,115223.45365808671,115209.62493954794,115197.04240075241
63,115181.46484888648,115146.28481098395,115079.31106270524,115026.73883276529,114965.36497446417,114950.65499550947,114937.22956742189,114924.89745482896
64,114909.57240638939,114877.47673028662,114816.06062811482,114755.65509831079,114696.43752481374,114684.36573200561,114671.11489054463,114659.53305281469
65,114644.56422817463,114612.84105822832,114541.98900313332,114482.24267163617,114434.4181716126,114420.26550677037,114407.21711511642,114396.23834696051
66,114381.44613037512,114348.77246902144,114283.67694986235,114228.23698400488,114171.73404498427,114160.2772672755,114147.5242015598,114136.5732096158
67,114129.86382774383,114096.57913599073,114024.21028227473,113967.74826818486,113912.41374701343,113897.86381044926,113884.3057828892,113873.72229070394
68,113859.68982652374,113830.0335643636,113759.09336784483,113715.56885857655,113671.6314175535,113660.69156127798,113647.23532722393,113636.93977910315
69,113623.15054889533,113591.76702257607,113541.02522726756,113487.7257992187,113436.56396518416,113421.9335386998,113409.05772838606,113399.22378938665
70,113385.67038004578,113358.42664836244,113288.3260553093,113238.06033926341,113187.72980595265,113177.04881585902,113164.2243446847,113155.10825402942
71,113142.16321494275,113112.4513429684,113054.90320967571,113004.8187713922,112964.54126480354,112950.81206090281,112938.1640640576,112929.07045569133
72,112916.14222591245,112886.22856775785,112819.4276572283,112770.8932834907,112722.9899087693,112713.06502870322,112700.7572900531,112692.09637447525
73,112679.65130991171,112651.61396924697,112593.3362226648,112547.34870668134,112501.2505392537,112487.35508219326,112475.37372442146,112466.94911294765
74,112460.53363584072,112432.00820110376,112380.75579113018,112335.82499715804,112291.12899830904,112281.48246190362,112269.58361190528,112261.48955867361
75,112249.26775377791,112221.68210775168,112158.81994060149,112121.93841009129,112078.32517319762,112064.72829161535,112053.09014382333,112045.56727921686
76,112033.73213256377,112009.11883626772,111952.23582941384,111910.12992576949,111868.58469517627,111858.6395480586,111847.25983299018,111840.627842782
77,111832.88141219883,111809.77329261714,111746.5792573361,111704.55518332345,111663.12275117761,111650.13981155658,111638.91368254067,111631.67304540945
78,111618.77249376345,111593.91151569955,111555.69639783385,111521.95835547664,111482.26109395226,111473.14673881631,111462.14310311963,111456.39782431131
79,111443.73903538482,111419.95357074565,111359.79329091647,111320.13225019813,111287.50589188699,111277.9602866804,111267.14263533935,111260.2809081047
80,111247.88444131167,111224.38767677627,111164.3119637474,111126.76745346212,111094.8732958815,111081.99469787073,111071.47911519441,111064.35285059002
81,111057.34783168716,111035.01214799329,110976.37259042819,110938.8183396571,110902.17307343913,110890.09293909269,110879.77791417556,110872.81975298416
82,110865.9173035448,110841.88419901562,110796.28131070554,110759.82600520347,110724.39258971951,110714.79583071335,110704.63659437411,110697.85406647995
83,110691.1310453135,110667.66883660582,110622.48663686811,110593.2853048353,110557.98276117853,110546.39526688211,110536.50200860068,110528.89293217174
84,110522.22302967362,110499.4004148915,110443.57222103048,110409.23105499276,110381.57753771431,110372.16129589648,110362.37570578238,110357.30243215043
85,110346.0300333327,110325.2410153638,110270.37344472381,110236.92280341849,110209.2064323497,110197.55976916871,110187.9528451617,110184.26744915586
86,110177.85207893385,110155.7629082163,110122.39852622454,110096.3204729086,110064.10961268624,110051.95127427761,110042.47894708032,110036.84118161592
87,110030.57149136247,110010.86560804941,109957.34392375863,109925.7222817878,109894.5989511139,109883.63455027645,109874.41378107923,109868.58392247348
88,109862.49350076706,109841.3606630011,109787.76160189792,109757.07546043536,109727.36040876133,109718.54035016066,109709.51747394423,109703.98938585984
